gid,x,y,z,cluster,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
387,-583.7,-1143.3,352.7,53,10,1,8,193.2,0.4,2156.5,476.2
388,-273.8,-1118.8,1361.7,9,9,3,6,141.1,0.4,2437.3,389.5
389,-657.6,-1077.3,110.2,50,10,2,8,108.8,0.3,2765.5,429.1
390,-74.4,-763.6,660.0,49,9,1,8,133.3,0.3,2071.8,424.5
391,-53.1,-817.5,912.9,11,10,2,8,201.3,0.5,2311.6,421.3
392,-273.8,-885.5,158.6,26,12,2,10,125.7,0.4,2078.6,337.4
393,-390.5,-983.8,104.0,45,12,3,9,192.9,0.4,3310.3,432.8
394,-200.0,-1082.4,1405.9,9,11,2,8,123.6,0.3,2241.1,442.8
395,-893.2,-1152.5,310.6,44,10,3,7,178.1,0.5,1976.1,361.5
396,-511.5,-1109.2,676.1,19,9,4,5,137.5,0.4,1347.4,362.5
397,-489.2,-1023.7,102.6,73,11,3,8,129.6,0.3,2285.6,408.8
398,-146.9,-1018.8,492.8,38,9,1,8,93.9,0.3,1274.8,295.9
399,-182.5,-847.3,373.5,20,10,1,9,202.6,0.4,2490.5,454.7
400,-601.0,-1108.3,607.8,16,12,1,11,167.8,0.4,2523.0,437.3
401,-351.8,-902.1,388.7,4,11,3,8,148.3,0.4,1878.4,346.1
402,-92.6,-912.1,342.8,54,10,5,5,200.2,0.4,3089.2,474.0
403,-183.0,-808.6,300.0,20,9,1,8,178.5,0.4,1567.5,425.0
404,-94.1,-1157.4,1423.5,2,10,2,8,229.0,0.6,2239.9,384.9
405,-33.2,-698.1,603.4,68,10,3,7,182.8,0.4,2046.1,453.7
406,-22.7,-1059.9,1092.1,35,12,4,8,179.4,0.5,3699.3,393.0
407,-606.3,-1045.8,159.5,40,8,2,6,203.7,0.5,2141.9,405.6
408,-568.2,-1132.0,561.7,16,10,2,8,125.8,0.3,2428.0,427.9
409,-148.9,-966.0,645.5,34,9,2,7,128.9,0.3,2555.4,422.2
410,-362.2,-896.3,478.9,23,9,3,6,192.6,0.4,2374.3,437.3
411,-49.6,-770.8,427.3,27,10,1,9,186.1,0.4,2462.7,419.4
412,-129.2,-946.0,667.0,5,9,3,6,147.6,0.3,2806.0,425.1
413,-602.1,-1062.8,153.9,40,9,2,7,144.8,0.4,2000.0,378.4
414,4.7,-891.1,523.5,25,9,1,8,147.7,0.4,2075.0,337.9
415,-295.8,-1057.4,947.9,61,8,3,5,121.1,0.3,1872.4,355.4
416,-555.4,-1027.0,426.3,31,10,2,8,166.7,0.4,2027.9,402.7
417,-19.2,-866.3,701.4,7,10,3,6,149.9,0.4,2278.8,368.5
418,-46.8,-1040.8,788.8,70,9,2,7,198.3,0.5,2321.4,440.1
419,-119.4,-830.2,639.5,7,10,1,9,145.7,0.3,2826.9,420.1
420,-675.3,-1112.8,128.8,50,8,3,3,120.8,0.3,1482.0,399.7
421,-892.5,-1118.3,294.0,44,9,3,6,181.3,0.4,2547.4,436.8
422,-359.3,-981.7,227.1,26,8,2,5,162.3,0.4,1519.5,419.4
423,-57.9,-793.8,297.3,39,10,1,9,180.6,0.4,2633.5,417.0
